Monster	Type	AC	HD	Save	Campaign Setting	Source	Pg. #	Edition	Legal Status	OGL Source
"Death Angel" Stone Golems					Greyhawk	Dungeon #70	72	AD&D2		
'Aggie'					Ravenloft	Castles Forlorn [The Weeping Land]	93	AD&D2		
'Wari					Dragonlance	Tales of the Lance [World Book of Ansalon]	145	AD&D2		
A'azzatz					Generic	Imagine #22	30	AD&D1		
Aarakocra					Generic	Monstrous Compendium Volume Two		AD&D2		
Aarakocra					Generic	Monstrous Manual 	5	AD&D2		
Aarakocra, Athasian					Dark Sun	Dark Sun Monstrous Compendium Appendix II: Terrors Beyond Tyr 	8	AD&D2		
Aarakocra, Malatran					Forgotten Realms	Polyhedron #121	11	AD&D2		
Aartuk, Elder					Spelljammer	Dungeon #71	43	AD&D2		
Aartuk, Elder					Spelljammer	Monstrous Compendium Spelljammer Appendix		AD&D2		
Aartuk, Warrior					Spelljammer	Dungeon #71	43	AD&D2		
Aartuk, Warrior					Spelljammer	Monstrous Compendium Spelljammer Appendix		AD&D2		
Aasimar					Planescape	Planescape Monstrous Compendium Appendix II 	6	AD&D2		
Aasimon, Agathinon					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Aasimon, Agathinon					Planescape	Planescape Monstrous Compendium Appendix 	5	AD&D2		
Aasimon, Deva, Astral					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Aasimon, Deva, Astral					Planescape	Planescape Monstrous Compendium Appendix 	6	AD&D2		
Aasimon, Deva, Monadic					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Aasimon, Deva, Monadic					Planescape	Planescape Monstrous Compendium Appendix 	6	AD&D2		
Aasimon, Deva, Movanic					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Aasimon, Deva, Movanic					Planescape	Planescape Monstrous Compendium Appendix 	6	AD&D2		
Aasimon, Light					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Aasimon, Light					Planescape	Planescape Monstrous Compendium Appendix 	8	AD&D2		
Aasimon, Planetar					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Aasimon, Planetar					Planescape	Planescape Monstrous Compendium Appendix 	9	AD&D2		
Aasimon, Solar					Generic	Monstrous Compendium Outer Planes Appendix		AD&D2		
Aasimon, Solar					Planescape	Planescape Monstrous Compendium Appendix 	10	AD&D2		
Aballin					Forgotten Realms	Forgotten Realms Campaign Setting (New Edition) 		AD&D2		
Aballin					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Aballin					Generic	Monstrous Compendium Fiend Folio Appendix (MC14)		AD&D2		
Abhir					Generic	Dungeon #23	19	AD&D1		
Abigor (Duke of Hell)					Generic	Dragon #76	26	AD&D1		
Abishai (Lesser devil), Black					Generic	Dragon #75	9	AD&D1		
Abishai (Lesser devil), Blue					Generic	Dragon #75	9	AD&D1		
Abishai (Lesser devil), Green					Generic	Dragon #75	9	AD&D1		
Abishai (Lesser devil), Red					Generic	Dragon #75	9	AD&D1		
Abishai (Lesser devil), White					Generic	Dragon #75	9	AD&D1		
Abishai, Black					Forgotten Realms	Dungeon #29	37	AD&D2		
Abishai, Green					Forgotten Realms	Dungeon #29	37	AD&D2		
Abishai, Red					Forgotten Realms	Dungeon #29	37	AD&D2		
Aboleth					Generic	Complete Psionics Handbook (PHBR5)	123	AD&D2		
Aboleth					Generic	Monstrous Compendium Volume Two		AD&D2		
Aboleth					Generic	Monstrous Manual 	6	AD&D2		
Aboleth, Saltwater					Generic	Dungeon #12	46	AD&D1		
Aboleth, Savant					Generic	Monstrous Compendium Annual Volume Two 	6	AD&D2		
Aboleth, Savant					Generic	Night Below: An Underdark Campaign 		AD&D2		
Abomination of Diirinka					Generic	Axe of the Dwarvish Lords	189	AD&D2		
Abrian					Planescape	Planescape Monstrous Compendium Appendix II 	8	AD&D2		
Absalom (Unique Morg)					Dark Sun	City by the Silt Sea [Monstrous Supplement]	2	AD&D2		
Abyss Ants					Generic	Monstrous Compendium Annual Volume One 		AD&D2		
Abyss ants					Generic	Dragon #193	97	AD&D2		
Abyssal Lord, Graz'zt					Planescape	Planes of Chaos [Monstrous Supplement]	2	AD&D2		
Abyssal Lord, Pazrael					Planescape	Planes of Chaos [Monstrous Supplement]	2	AD&D2		
Accursed Rug					Generic	Encyclopedia Magica, Volume I	256	AD&D2		
Achaierai					Generic	Monstrous Compendium Fiend Folio Appendix (MC14)		AD&D2		
Achaierai					Planescape	Planes of Law [Monstrous Supplement]	2	AD&D2		
Acid Beast					Diablo	Diablo II: The Awakening	50	AD&D2		
Acid Beast, Lava Maw					Diablo	Diablo II: The Awakening	50	AD&D2		
Acid Beast, Pit Beast					Diablo	Diablo II: The Awakening	50	AD&D2		
Acid Beast, Poison Spitter					Diablo	Diablo II: The Awakening	50	AD&D2		
Acid Blob					Al-Qadim	Al-Qadim: The Genie's Curse [Rule Book]	47	AD&D2		
Acid Pigeon					Generic	Dragon Annual #3	107	AD&D2		
Actaeon (Elk Centaur)					Mystara	Mystara Monstrous Compendium Appendix 	8	AD&D2		
Adaro					Generic	Dragon #29	37	D&D?		
Addazahr (Backbiter)					Al-Qadim	Corsairs of the Great Sea		AD&D2		
Addazahr (Backbiter)					Generic	Monstrous Compendium Annual Volume Two 	8	AD&D2		
