Weapon	Cost	Weight (lbs.)	Size	Type	Speed Factor	S-M Dmg	L Dmg	Source
Alhulak	9 gp	9	M	B	5	1d6	1d6	CGR2
Ankus (Elephant Goad)	3 gp	4	M	P/B	6	1d4	1d4	Al-Qadim
Arquebus	500 gp	10	M	P	15	1d10	1d10	PHB
Arrow, Daikyu	3 sp/6	1	M	P	—	1d8	1d6	PHBR1
Arrow, Flight	3 sp/12	*	S	P	—	1d6	1d6	PHB
Arrow, Forget	100 gp	—	T	P	—	**	**	PHBR10
Arrow, Giant-kin	1 gp/12	—	G	P	—	1d8	1d8	PHBR10
Arrow, Kenyan	1 gp/20	1/10	S	P	—	1d10	1d10	Dra #189
Arrow, Mail-Piercer	1 gp/20	*	S	P	—	1d6	1d6	Dra #189
Arrow, Sheaf	3 sp/6	*	S	P	—	1d8	1d8	PHB
Arrow, Sleep	10 gp/6	—	T	P	—	**	**	PHBR10
Arrow, Stone Flight	3 cp/12	1/10	M	P	—	1d4	1d4	PHBR1
Arrow, War	1 gp/2	—	T	P	—	1d4+1	1d4+1	PHBR10
Assegai	2 gp	1	M	P/S	4	1d8	1d10	Dra #189
Axe, Battle	5 gp	7	M	S	7	1d8	1d8	PHB
Axe, Forearm	1 gp	4	S	P/S	3	1d6	1d6	CGR2
Axe, Hand/Throwing	1 gp	5	M	S	4	1d6	1d4	PHB
Axe, Two-Handed Battle	10 gp	10	M	S	9	1d10	2d8	PHBR6
Bagh Nakh (Tiger Claws)	4 sp	1	S	P	2	1d2	1d2	Al-Qadim
Bard's Friend	10 gp	3	S	P/S	3	1d4+1	1d3	Dra #185
Basilard	7 gp	3	S	P/S	3	1d4+1	1d6+1	Dra #169
Belaying Pin	2 cp	2	S	B	4	1d3	1d3	PHBR1
Blowgun	5 gp 	2	L	—	5	—	—	PHB
Blowgun, Needle	2 cp	*	S	P	—	1	1	PHB
Blowgun, Barbed Dart	1 sp	*	S	P	—	1d3	1d2	PHB
Blunderbus	500 gp	12	M	P	15	1d4	1d4	FRA
Bo Stick	2 cp	4	L	B	4	1d6	1d4	PHBR1
Bola	5 sp	2	M	B	8	1d3	1d2	PHBR1
Bow, Composite Long	100 gp	3	L	—	7	—	—	PHB
Bow, Composite Short	75 gp	2	M	—	6	—	—	PHB
